dataset, network, layer, 1,2,3,4,5,6,7,8,9
D1, CNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00338, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00360, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00505, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00505, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNN, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00632, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNN, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00632, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.01197, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.01193, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.01321, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.01365, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.01380, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.01394, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.02069, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.05735, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.05705, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00575, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.04307, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00577, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00470, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00478, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00477, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00461, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.00544, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.03252, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.03099, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.00491, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.03513, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.05258, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.02427, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.01688, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.01077, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.02203, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.00841, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.00880, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 8, 0.00000, 0.00000, 0.00000, 0.00000, 0.00342, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 9, 0.00000, 0.00000, 0.00000, 0.00000, 0.00323, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00219, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00231, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00180, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00180, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNN, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00293, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNN, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00293, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.04819, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.05259, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNN, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.05734, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNN, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.05029, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNN, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.04963, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNN, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00482, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.01694, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.05560, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.02621, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00678, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.04056, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.01632, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.06070, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.05765, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.05801, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.04021, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.01161, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.02653, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.02709, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.00478, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00415, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00511, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00536, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00232, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.01551, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00491, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.04652, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.04443, 0.00000, 0.00000, 0.00000, 0.00000
