dataset, network, layer, 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D1, CNN, 0, 0.17477, 0.34979, 0.24339, 0.27784, 0.39585, 0.03507, 0.17326, 0.07536, 0.08787, 0.04047, 0.35536, 0.00000, 0.01257, 0.00000, 0.00000
D1, CNN, 1, 0.14526, 0.33977, 0.20121, 0.26214, 0.37181, 0.03875, 0.14685, 0.06921, 0.07558, 0.04071, 0.28322, 0.00000, 0.01250, 0.00000, 0.00000
D1, SECNN, 0, 0.12684, 0.21067, 0.15809, 0.27288, 0.33211, 0.03767, 0.13162, 0.05774, 0.07182, 0.03469, 0.28224, 0.00000, 0.01366, 0.00000, 0.00000
D1, SECNN, 1, 0.12713, 0.19028, 0.15852, 0.27170, 0.33186, 0.03703, 0.12931, 0.05848, 0.07203, 0.03463, 0.28228, 0.00000, 0.01366, 0.00000, 0.00000
D1, SECNN, 2, 0.11843, 0.20915, 0.15158, 0.26013, 0.31664, 0.04791, 0.11362, 0.04799, 0.07101, 0.01646, 0.25666, 0.00000, 0.01243, 0.00000, 0.00000
D1, SECNN, 3, 0.11867, 0.20447, 0.15161, 0.25928, 0.31695, 0.04804, 0.11432, 0.04869, 0.07098, 0.01433, 0.25652, 0.00000, 0.01241, 0.00000, 0.00000
D1, CBAM-CNN, 0, 0.09767, 0.20962, 0.14547, 0.10889, 0.13103, 0.05639, 0.10964, 0.01530, 0.06305, 0.04063, 0.24426, 0.00000, 0.01666, 0.00000, 0.00000
D1, CBAM-CNN, 1, 0.08899, 0.16697, 0.14550, 0.08131, 0.13031, 0.05870, 0.10528, 0.01397, 0.05975, 0.04163, 0.24449, 0.00000, 0.01672, 0.00000, 0.00000
D1, CBAM-CNN, 2, 0.08155, 0.21952, 0.10925, 0.19887, 0.28410, 0.04881, 0.08817, 0.01114, 0.04631, 0.03646, 0.21604, 0.00000, 0.01438, 0.00000, 0.00000
D1, CBAM-CNN, 3, 0.07959, 0.20254, 0.10482, 0.19016, 0.26570, 0.04360, 0.07457, 0.01245, 0.04282, 0.03451, 0.20639, 0.00000, 0.01431, 0.00000, 0.00000
D1, CBAM-CNN, 4, 0.07954, 0.20214, 0.10519, 0.19155, 0.26658, 0.04379, 0.07458, 0.01303, 0.04234, 0.03474, 0.20641, 0.00000, 0.01434, 0.00000, 0.00000
D1, CBAM-CNN, 5, 0.07494, 0.20204, 0.10235, 0.18619, 0.26282, 0.04310, 0.07274, 0.01172, 0.04186, 0.03417, 0.20147, 0.00000, 0.01417, 0.00000, 0.00000
D1, CNNResnet, 0, 0.06751, 0.32943, 0.27200, 0.26773, 0.33013, 0.03167, 0.15143, 0.05583, 0.09358, 0.03693, 0.51212, 0.00000, 0.00088, 0.00000, 0.00000
D1, CNNResnet, 1, 0.06551, 0.26205, 0.02217, 0.20807, 0.31786, 0.04621, 0.05635, 0.05434, 0.06263, 0.01232, 0.03579, 0.00000, 0.00785, 0.00000, 0.00000
D1, CNNResnet, 2, 0.15222, 0.30826, 0.25048, 0.19464, 0.22963, 0.04069, 0.08891, 0.05697, 0.07944, 0.02363, 0.47867, 0.00000, 0.00493, 0.00000, 0.00000
D1, CNNResnet, 3, 0.12659, 0.30031, 0.28831, 0.29304, 0.33480, 0.03284, 0.11359, 0.06215, 0.08642, 0.07042, 0.38736, 0.00000, 0.02045, 0.00000, 0.00000
D1, CNNResnet, 4, 0.08525, 0.26029, 0.31269, 0.31272, 0.27244, 0.05550, 0.09152, 0.04886, 0.04077, 0.02481, 0.36767, 0.00000, 0.01521, 0.00000, 0.00000
D1, CNNResnet, 5, 0.11525, 0.25126, 0.30076, 0.31068, 0.29632, 0.04618, 0.12159, 0.05904, 0.08424, 0.06884, 0.52575, 0.00000, 0.03206, 0.00000, 0.00000
D1, SECNNResnet, 0, 0.13185, 0.29951, 0.14823, 0.30072, 0.32690, 0.03311, 0.14571, 0.04959, 0.08552, 0.05943, 0.41828, 0.00000, 0.00104, 0.00000, 0.00000
D1, SECNNResnet, 1, 0.09315, 0.10542, 0.01774, 0.08666, 0.10852, 0.03786, 0.11787, 0.08984, 0.07023, 0.01565, 0.11898, 0.00000, 0.00117, 0.00000, 0.00000
D1, SECNNResnet, 2, 0.11085, 0.10518, 0.02166, 0.10449, 0.11824, 0.04474, 0.11188, 0.09293, 0.07056, 0.01592, 0.12312, 0.00000, 0.00119, 0.00000, 0.00000
D1, SECNNResnet, 3, 0.13082, 0.24642, 0.19232, 0.19859, 0.15112, 0.03369, 0.14562, 0.08337, 0.08319, 0.06317, 0.54417, 0.00000, 0.00114, 0.00000, 0.00000
D1, SECNNResnet, 4, 0.11312, 0.29894, 0.25577, 0.27127, 0.25071, 0.06137, 0.09248, 0.09399, 0.07295, 0.06279, 0.42199, 0.00000, 0.00122, 0.00000, 0.00000
D1, SECNNResnet, 5, 0.03839, 0.14740, 0.05816, 0.17475, 0.31887, 0.06129, 0.06512, 0.05541, 0.04021, 0.00848, 0.06114, 0.00000, 0.00128, 0.00000, 0.00000
D1, SECNNResnet, 6, 0.03210, 0.15476, 0.06068, 0.17736, 0.30041, 0.06153, 0.05177, 0.05529, 0.03456, 0.00881, 0.06215, 0.00000, 0.00129, 0.00000, 0.00000
