dataset, network, layer, 1,2,3,4,5,6,7,8,9
D1, CNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00169, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00180, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00253, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00253, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNN, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00317, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNN, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00317, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00604, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00603, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00665, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00687, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.00695, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00702, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.01057, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.02952, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.02936, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00288, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.02203, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00289, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00235, 0.00000, 0.00000, 0.00000, 0.00000
