dataset, network, layer, 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D1, CNN, 0, 0.09576, 0.21198, 0.13856, 0.16134, 0.24678, 0.01785, 0.09485, 0.03916, 0.04596, 0.02065, 0.21608, 0.00000, 0.00633, 0.00000, 0.00000
D1, CNN, 1, 0.07832, 0.20466, 0.11186, 0.15085, 0.22837, 0.01976, 0.07925, 0.03585, 0.03928, 0.02078, 0.16498, 0.00000, 0.00629, 0.00000, 0.00000
D1, SECNN, 0, 0.06772, 0.11852, 0.08584, 0.15800, 0.19913, 0.01920, 0.07045, 0.02973, 0.03725, 0.01767, 0.16431, 0.00000, 0.00688, 0.00000, 0.00000
D1, SECNN, 1, 0.06789, 0.10611, 0.08609, 0.15721, 0.19895, 0.01887, 0.06913, 0.03013, 0.03737, 0.01764, 0.16433, 0.00000, 0.00688, 0.00000, 0.00000
D1, SECNN, 2, 0.06295, 0.11704, 0.08201, 0.14952, 0.18810, 0.02454, 0.06023, 0.02459, 0.03682, 0.00831, 0.14723, 0.00000, 0.00626, 0.00000, 0.00000
D1, SECNN, 3, 0.06308, 0.11414, 0.08203, 0.14896, 0.18832, 0.02461, 0.06063, 0.02496, 0.03680, 0.00722, 0.14713, 0.00000, 0.00624, 0.00000, 0.00000
D1, CBAM-CNN, 0, 0.05134, 0.11750, 0.07845, 0.05859, 0.07013, 0.02902, 0.05800, 0.00771, 0.03255, 0.02073, 0.13912, 0.00000, 0.00840, 0.00000, 0.00000
D1, CBAM-CNN, 1, 0.04671, 0.09219, 0.07846, 0.04264, 0.06969, 0.03024, 0.05557, 0.00703, 0.03079, 0.02126, 0.13927, 0.00000, 0.00843, 0.00000, 0.00000
D1, CBAM-CNN, 2, 0.04251, 0.12330, 0.05779, 0.11042, 0.16558, 0.02502, 0.04612, 0.00560, 0.02370, 0.01857, 0.12110, 0.00000, 0.00724, 0.00000, 0.00000
D1, CBAM-CNN, 3, 0.04145, 0.11268, 0.05531, 0.10507, 0.15320, 0.02229, 0.03873, 0.00627, 0.02188, 0.01756, 0.11507, 0.00000, 0.00721, 0.00000, 0.00000
D1, CBAM-CNN, 4, 0.04142, 0.11244, 0.05552, 0.10593, 0.15379, 0.02239, 0.03873, 0.00656, 0.02163, 0.01768, 0.11509, 0.00000, 0.00722, 0.00000, 0.00000
D1, CBAM-CNN, 5, 0.03893, 0.11238, 0.05394, 0.10266, 0.15129, 0.02202, 0.03774, 0.00589, 0.02138, 0.01738, 0.11202, 0.00000, 0.00714, 0.00000, 0.00000
D1, CNNResnet, 0, 0.03564, 0.19721, 0.15982, 0.15458, 0.19775, 0.01609, 0.08193, 0.02872, 0.04909, 0.01903, 0.34474, 0.00000, 0.00044, 0.00000, 0.00000
D1, CNNResnet, 1, 0.03395, 0.15083, 0.01132, 0.11614, 0.19070, 0.02365, 0.02906, 0.02793, 0.03233, 0.00620, 0.01829, 0.00000, 0.00394, 0.00000, 0.00000
D1, CNNResnet, 2, 0.08239, 0.18227, 0.14338, 0.10784, 0.13044, 0.02077, 0.04661, 0.02933, 0.04138, 0.01204, 0.31495, 0.00000, 0.00247, 0.00000, 0.00000
