dataset, network, layer, 1,2,3,4,5,6,7,8,9
D1, CNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.15789, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.15789, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.22632, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.22632, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNN, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.26316, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNN, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.26316, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.42105, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.42105, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.58421, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.57368, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.57895, 0.00000, 0.00000, 0.00000, 0.00000
D1, CBAM-CNN, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.58421, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.35263, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.78947, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.77368, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.25789, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.68421, 0.00000, 0.00000, 0.00000, 0.00000
D1, CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.26316, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.22105, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.22105, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.22105, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.22105, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.24737, 0.00000, 0.00000, 0.00000, 0.00000
D1, SECNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.59474, 0.00000, 0.00000, 0.00000, 0.00000
