dataset, network, layer, 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D1, CNN, 0, 0.84058, 0.68269, 0.92361, 0.71477, 0.72686, 0.19552, 0.73611, 0.36970, 0.67500, 0.63913, 0.92330, 0.00000, 0.80000, 0.00000, 0.00000
D1, CNN, 1, 0.83333, 0.70721, 0.91250, 0.71591, 0.72721, 0.24776, 0.73472, 0.40303, 0.68250, 0.65652, 0.92039, 0.00000, 0.80000, 0.00000, 0.00000
D1, SECNN, 0, 0.64783, 0.47692, 0.80556, 0.67784, 0.61979, 0.19851, 0.59167, 0.28636, 0.59500, 0.51304, 0.88738, 0.00000, 0.94000, 0.00000, 0.00000
D1, SECNN, 1, 0.64783, 0.42933, 0.80694, 0.67670, 0.62014, 0.19552, 0.58194, 0.29091, 0.59750, 0.51304, 0.88738, 0.00000, 0.94000, 0.00000, 0.00000
D1, SECNN, 2, 0.65072, 0.46731, 0.80417, 0.68068, 0.61237, 0.26716, 0.61806, 0.28030, 0.64500, 0.27826, 0.87767, 0.00000, 0.96000, 0.00000, 0.00000
D1, SECNN, 3, 0.65072, 0.45673, 0.80417, 0.67841, 0.61201, 0.26716, 0.62083, 0.28485, 0.64500, 0.24348, 0.87767, 0.00000, 0.96000, 0.00000, 0.00000
D1, CBAM-CNN, 0, 0.48986, 0.43750, 0.72917, 0.30625, 0.39541, 0.40299, 0.45278, 0.06818, 0.49250, 0.56522, 0.83495, 0.00000, 1.00000, 0.00000, 0.00000
D1, CBAM-CNN, 1, 0.44058, 0.40000, 0.71528, 0.36761, 0.42650, 0.65373, 0.43472, 0.05909, 0.45750, 0.56522, 0.83398, 0.00000, 1.00000, 0.00000, 0.00000
D1, CBAM-CNN, 2, 0.43043, 0.46154, 0.59444, 0.48352, 0.49541, 0.24030, 0.38611, 0.05455, 0.37250, 0.56522, 0.79515, 0.00000, 0.88000, 0.00000, 0.00000
D1, CBAM-CNN, 3, 0.45652, 0.45000, 0.59306, 0.49716, 0.47703, 0.24030, 0.40278, 0.06970, 0.37750, 0.56522, 0.79806, 0.00000, 1.00000, 0.00000, 0.00000
D1, CBAM-CNN, 4, 0.45652, 0.44615, 0.59306, 0.50000, 0.47456, 0.24030, 0.40139, 0.07273, 0.37250, 0.56522, 0.79806, 0.00000, 1.00000, 0.00000, 0.00000
D1, CBAM-CNN, 5, 0.44058, 0.45625, 0.58333, 0.49034, 0.47703, 0.24328, 0.39861, 0.06667, 0.38250, 0.56522, 0.78932, 0.00000, 1.00000, 0.00000, 0.00000
D1, CNNResnet, 0, 0.34348, 0.58654, 0.79583, 0.64205, 0.56007, 0.15373, 0.55972, 0.24545, 0.62250, 0.51304, 0.86311, 0.00000, 0.18000, 0.00000, 0.00000
D1, CNNResnet, 1, 0.77536, 0.46442, 0.20972, 0.46591, 0.77208, 0.21940, 0.52778, 0.80455, 0.34250, 0.51304, 0.33204, 0.00000, 0.80000, 0.00000, 0.00000
D1, CNNResnet, 2, 0.66522, 0.53269, 0.71389, 0.48523, 0.82792, 0.18657, 0.49167, 0.70455, 0.47500, 0.50435, 0.89612, 0.00000, 0.80000, 0.00000, 0.00000
D1, CNNResnet, 3, 0.59275, 0.56635, 0.85000, 0.69205, 0.56890, 0.17612, 0.54722, 0.30000, 0.62250, 0.60000, 0.88835, 0.00000, 0.76000, 0.00000, 0.00000
D1, CNNResnet, 4, 0.54058, 0.51827, 0.79167, 0.65568, 0.46855, 0.51343, 0.58750, 0.22727, 0.62500, 0.32609, 0.66019, 0.00000, 0.70000, 0.00000, 0.00000
D1, CNNResnet, 5, 0.54638, 0.47260, 0.83889, 0.68295, 0.51307, 0.24925, 0.56944, 0.26061, 0.60250, 0.53043, 0.87573, 0.00000, 0.88000, 0.00000, 0.00000
D1, SECNNResnet, 0, 0.59275, 0.57596, 0.50417, 0.73693, 0.60424, 0.16418, 0.56806, 0.45758, 0.59250, 0.63478, 0.87282, 0.00000, 0.20000, 0.00000, 0.00000
D1, SECNNResnet, 1, 0.52029, 0.45962, 0.23750, 0.45227, 0.36290, 0.17910, 0.54028, 0.41667, 0.50000, 0.38261, 0.67184, 0.00000, 0.20000, 0.00000, 0.00000
D1, SECNNResnet, 2, 0.57391, 0.45962, 0.27917, 0.49489, 0.38940, 0.21493, 0.52361, 0.42273, 0.46750, 0.38261, 0.67282, 0.00000, 0.20000, 0.00000, 0.00000
D1, SECNNResnet, 3, 0.60435, 0.47163, 0.61111, 0.57955, 0.34912, 0.15224, 0.57639, 0.40909, 0.48250, 0.51739, 0.82330, 0.00000, 0.20000, 0.00000, 0.00000
D1, SECNNResnet, 4, 0.57681, 0.62933, 0.83333, 0.73352, 0.39823, 0.31940, 0.48611, 0.57121, 0.54000, 0.60435, 0.88641, 0.00000, 0.20000, 0.00000, 0.00000
D1, SECNNResnet, 5, 0.37536, 0.47981, 0.61389, 0.43068, 0.56749, 0.65224, 0.53611, 0.60606, 0.78250, 0.28261, 0.48835, 0.00000, 0.20000, 0.00000, 0.00000
D1, SECNNResnet, 6, 0.34348, 0.49327, 0.63194, 0.43125, 0.53958, 0.66716, 0.53611, 0.60606, 0.70750, 0.28261, 0.49417, 0.00000, 0.20000, 0.00000, 0.00000
D1, SECNNResnet, 7, 0.42174, 0.44183, 0.82778, 0.65909, 0.51979, 0.34627, 0.47361, 0.42879, 0.55750, 0.50000, 0.82816, 0.00000, 0.20000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 0, 0.70290, 0.50962, 0.57917, 0.70227, 0.57067, 0.30597, 0.37083, 0.09697, 0.71250, 0.63478, 0.28350, 0.00000, 0.62000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 1, 0.11739, 0.37500, 0.36667, 0.58352, 0.47880, 0.50746, 0.52222, 0.60606, 0.74750, 0.44348, 0.15534, 0.00000, 0.16000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 2, 0.15217, 0.33462, 0.33611, 0.51705, 0.52827, 0.59104, 0.37361, 0.57121, 0.73000, 0.43913, 0.26990, 0.00000, 0.20000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 3, 0.26087, 0.31202, 0.34722, 0.50795, 0.34417, 0.57761, 0.32778, 0.38485, 0.74000, 0.41739, 0.25922, 0.00000, 0.20000, 0.00000, 0.00000
